rtctf1w "Bletyes Blues No Doors"
lfctf9 "Slips"
and "DoJo MoJo"
marics_ctf21 "Variation on The Blues"
marics_ctf18 "The Pit"
sherm_ctf2 "TuTS Frag Hut
as2m7 "Cacophony . Publius . Myrkul"
lfctf1 "nuero"
gra1 "gra1"
nxctf4 "Heartless"
lfctf4 "Send in the Clones"
fortsup "FortSupreme"
baricade "Baricade"
lfctf5 "Samurai Castles"
gymctf2 "gymctf2"
lfctf9 "Slips"
lfctf10 "Twin Temple"
sickctf11b "Space Base Race by Newbie:)"
ul_ctf2 "Instant Blues By UnderLord"
ul_ctf4 "Dragon Keep"
lfctf6 "Mines"
lfctf8 "Dakyne"
octoball "Octo-Rena"
slimyctf "Slime Mixer"
xlctf2b "xlctf2b" 
blckbase "Lightning Round"
nxctf4b "Rampless"
lmctf39 "LMCTF Blues"
mactf05a "mirror"
theshack "shack"
trapped "trapped"
stdctf4a "Rum N Choke"
nxctf3 "Else Where"
marics_ctf1 "All That Divides"
octo2beta "serenity"
codctf6 "Super Guido Bros"
f2w "fatal 2 way"
ul_ctf1 "Rockon"
q2uctf4 "DriedEdges"
afctf2a "Crackho 2.0"
q2uctf1 "TooEdgy"
q2ctflr3 "Oasis Valley"
q2ctfw4 "McKin Stronghold"
smap14 "Twin Castles Rush"
q2ctf1 "McKinley Revival"
q2ctf2 "Stronghold"
q2ctf3b "Smelter II"
outdoors "Great Outdoors"
marics_ctf2 "where thunder roars"
q2ctf4 "outlands Original"
q2ctf4a "outlands II"
q2ctf8 "Hangar Scenario"
nxctf1 "Neoxotb CTF 1"
nxctf5 "Alpha Redux"
nxctf2 "Fleeting Fury"
nxctf6 "Synthisis"
nxctf7 "Tribute"
kitchen "kitchen of Death"
pow2ctf "moshpit"
lm2rail "LM2rail"
lrail "LightRail"
sr2 "SkyRail2"
cfctf1 "FeldMan Complex"
codctf2 "Strong Resemblence"
lmctf36 "Gunslingers CTF"
lmctf41 "Airline CTF"
marics_ctf4 "Facing Dragons"
marics_ctf6 "Narrow Passage"
marics_ctf7 "Both Ends Against The Middle"
marics_ctf8 "Valley of the Shadow"
marics_ctf14 "Ride The Dragon XL"
marics_ctf14_5 "Ride The Dragon Lite"
marics_ctf15 "Another Valley More Shadows"
marics_ctf16 "Underneath Long Cave Tunnle"
marics_ctf17 "Stone Simple"
marics_ctf19 "Super Pit XL"
marics_ctf20 "Defensive Anxieties"
smap49 "Be Quick"
lmctf33 "RockyRailCTF"
geminictf "gemini temples"
judctf1 "return fire"
lmctf21 "The Bridge"
lmctf22 "Disputed Territoies"
lmctf24 "trembling towera"
lmctf31 "LMCTF Reunion"
b4ctfb "Twin Temple Lush XL"
rtctf1a "Blets with Doors"
rtctf3 "RTctf3"
dgctf1 "CrackHo1.0"
smap17 "Return Fire"
as2m7rb "Caco Red Base"
shazam33 "Shazam 33"
catapult "Catapult CTF"
spark "Skate Park CTF"
theice "Ice Hockey CTF"
chilidogs "Chili Dawgs on Ice CTF"
